station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
,Monza,2006-09-10,Autumn,19.6,15.5,25.3,0.2,,48.0,8.7,,,
58362,Shanghai,2006-10-01,Autumn,20.9,19.4,21.4,4.6,,,,,,
,Suzuka,2006-10-08,Autumn,18.5,14.5,23.7,5.4,,313.0,20.1,,1002.2,
83780,São Paulo,2006-10-22,Spring,16.4,12.0,23.0,0.0,,,9.4,,,
95866,Melbourne,2005-03-06,Autumn,,8.1,18.3,1.6,,,,,,
,Kuala Lumpur,2005-03-20,Spring,28.5,24.4,33.1,0.0,,,5.6,,1009.6,
,Sakhir,2005-04-03,Spring,29.0,25.0,38.8,,,198.0,17.0,,,
,Imola,2005-04-24,Spring,12.0,6.5,12.8,8.3,,71.0,16.8,,1018.3,
,Montmeló,2005-05-08,Spring,20.1,14.3,26.2,0.0,,,9.3,,1013.7,
,Monte-Carlo,2005-05-22,Spring,18.9,15.5,22.2,0.0,,83.0,13.2,,1014.9,
,Nürburg,2005-05-29,Spring,20.4,15.1,26.0,7.0,0.0,242.5,10.5,31.4,1017.3,754.0
,Montreal,2005-06-12,Summer,18.6,13.4,21.9,10.2,0.0,120.0,14.1,,1008.5,
72438,Indianapolis,2005-06-19,Summer,19.4,13.9,25.0,0.0,0.0,37.0,13.0,,1020.3,
,Magny Cours,2005-07-03,Summer,22.8,16.0,29.4,1.6,,176.0,9.0,,1016.2,
,Hockenheim,2005-07-24,Summer,17.5,12.7,22.6,3.0,0.0,226.9,11.2,34.0,1007.5,307.0
12843,Budapest,2005-07-31,Summer,27.6,21.9,34.8,,,40.0,8.9,,1010.1,
,Istanbul,2005-08-21,Summer,25.7,19.6,31.8,0.0,,,9.6,,,
,Monza,2005-09-04,Autumn,22.0,16.1,24.8,2.3,,128.7,10.3,,1020.6,
,Spa,2005-09-11,Autumn,18.5,16.3,21.0,35.1,,,,,,
83780,São Paulo,2005-09-25,Spring,19.6,17.9,24.8,3.0,,,,,,
,Suzuka,2005-10-09,Autumn,20.5,17.1,25.6,0.0,,,,,,
58362,Shanghai,2005-10-16,Autumn,18.4,11.9,23.2,0.0,,,,,,
95866,Melbourne,2004-03-07,Autumn,,13.3,17.3,1.8,,,,,,
,Kuala Lumpur,2004-03-21,Spring,28.1,24.1,33.0,0.0,,90.0,5.9,,,
,Sakhir,2004-04-04,Spring,25.3,22.2,32.4,,,,19.0,,,
,Imola,2004-04-25,Spring,8.6,6.0,12.7,4.9,545.0,10.0,12.0,,,
,Montmeló,2004-05-09,Spring,15.7,10.8,19.0,3.1,,,9.5,,,
,Monte-Carlo,2004-05-23,Spring,18.5,16.2,20.4,0.0,,112.0,18.0,,1013.9,
,Nürburg,2004-05-30,Spring,17.5,9.1,24.1,1.2,0.0,125.7,10.8,32.7,1021.6,742.5
,Montreal,2004-06-13,Summer,15.0,8.1,19.9,2.5,0.0,286.2,16.4,,1013.6,
72438,Indianapolis,2004-06-20,Summer,17.2,10.6,23.9,0.0,0.0,,9.7,,1019.4,0.0
,Magny Cours,2004-07-04,Summer,18.9,11.4,24.9,0.6,,212.2,12.0,,,
,Hockenheim,2004-07-25,Summer,16.8,12.3,22.1,3.1,0.0,252.2,11.2,37.6,1016.9,283.1
12843,Budapest,2004-08-15,Summer,16.3,,,,,,,,,
,Spa,2004-08-29,Summer,16.0,12.6,,,,,,,,
,Monza,2004-09-12,Autumn,18.0,14.7,22.0,2.7,,,5.9,,,
58362,Shanghai,2004-09-26,Autumn,23.6,20.4,27.6,0.0,,,,,,
,Suzuka,2004-10-10,Autumn,20.3,18.5,23.1,28.9,,38.0,9.5,,1011.9,
83780,São Paulo,2004-10-24,Spring,21.7,20.0,26.5,,,,,,,
95866,Melbourne,2003-03-09,Autumn,,14.6,19.0,5.0,,,,,,
,Kuala Lumpur,2003-03-23,Spring,27.8,24.2,33.0,11.0,,102.0,6.7,,,
83780,São Paulo,2003-04-06,Autumn,20.9,,,,,,,,,
,Imola,2003-04-20,Spring,9.5,6.2,12.6,12.9,386.0,19.0,14.6,,,
,Montmeló,2003-05-04,Spring,20.0,14.4,25.9,3.3,,43.0,15.1,,,
